,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned,Order_transformed
467,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,nebularia,Common greenshank,365.0,365.0,,,,,,,,187.0,,24.4,wild,medium,acceptable,,,,,,Birds,Charadriiformes
468,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,ochropus,Green sandpiper,365.0,365.0,,,,,,,,90.0,,11.5,wild,medium,acceptable,,,,,,Birds,Charadriiformes
469,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,semipalmata,Willet,730.0,730.0,22.0,,4.0,1.0,,28.0,,270.0,,12.6,wild,small,acceptable,,,,,,Birds,Charadriiformes
471,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,totanus,Common redshank,365.0,365.0,,,,,,,,149.0,0.10300000000000001,26.9,wild,medium,acceptable,,,,,,Birds,Charadriiformes
474,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,Long-tailed jaeger,,,23.0,,2.0,,,,,298.0,0.331,14.0,wild,medium,acceptable,,,,,,Birds,Charadriiformes
476,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,Parasidic jaeger,1200.0,1200.0,26.0,,2.0,,,28.5,,445.5,,31.1,wild,medium,acceptable,,,,,,Birds,Charadriiformes
477,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,skua,Great skua,2190.0,2190.0,,,,,,,,1340.0,0.156,34.5,wild,medium,acceptable,,,,,,Birds,Charadriiformes
482,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,ciconia,European white stork,1460.0,1460.0,33.0,,4.0,,,,,3350.0,0.17,39.0,wild,medium,acceptable,,,,,,Birds,Ciconiiformes
489,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,crumeniferus,Marabou,1460.0,1460.0,30.0,,2.0,,,,,8000.0,0.073,44.7,captivity,large,acceptable,,,,,,Birds,Ciconiiformes
492,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,americana,Wood stork,1460.0,1460.0,30.0,,3.0,1.0,,62.0,,2500.0,0.125,27.0,captivity,small,acceptable,,,,,,Birds,Ciconiiformes
496,Animalia,Chordata,Aves,Coliiformes,Coliidae,Colius,striatus,Speckled mousebird,,,14.0,,,,,,,51.0,,11.5,captivity,large,acceptable,,,,,,Birds,Coliiformes
497,Animalia,Chordata,Aves,Columbiformes,Columbidae,Caloenas,nicobarica,Nicobar pigeon,,,17.0,,1.0,,,,,519.0,,20.5,captivity,large,acceptable,,,,,,Birds,Columbiformes
498,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,livia,Rock dove,140.0,140.0,18.0,,2.0,3.0,,15.2,,358.7,0.28,35.0,captivity,large,high,,,,,,Birds,Columbiformes
499,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,oenas,Stock dove and stock pigeon,365.0,365.0,,,,,,,,291.0,0.32,12.6,wild,medium,acceptable,,,,,,Birds,Columbiformes
500,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,palumbus,Common wood-pigeon,365.0,365.0,,,,,,,,490.0,0.33799999999999997,17.7,wild,medium,acceptable,,,,,,Birds,Columbiformes
501,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,inca,Inca dove,,,14.0,,2.0,3.5,,,,50.0,,13.3,captivity,small,acceptable,,,,,,Birds,Columbiformes
502,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,passerina,Common ground dove,75.0,75.0,13.0,,2.0,2.5,,5.0,,35.0,,7.2,wild,medium,acceptable,,,,,,Birds,Columbiformes
504,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,verreauxi,White-tipped dove,,,14.0,,2.0,1.0,,,,147.5,,8.6,wild,small,acceptable,,,0.8884,131.0,,Birds,Columbiformes
505,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leucosarcia,melanoleuca,Wonga pigeon,,,,,,,,,,429.0,,16.3,captivity,tiny,acceptable,,,1.695,445.0,,Birds,Columbiformes
506,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,fasciata,Band-tailed pigeon,365.0,365.0,19.0,,1.0,,,,,315.0,,18.5,wild,large,acceptable,,,,,,Birds,Columbiformes
507,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,leucocephala,White-crowned pigeon,365.0,365.0,,,1.0,,,,,247.0,,14.4,wild,medium,acceptable,,,,,,Birds,Columbiformes
508,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,chinensis,Spotted dove,,,15.0,,2.0,,,6.4,,159.0,,9.8,wild,medium,acceptable,,,,,,Birds,Columbiformes
509,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,decaocto,Eurasian collared-dove,365.0,365.0,15.0,,2.0,4.5,,,,157.4,0.33299999999999996,17.9,captivity,medium,acceptable,,,,,,Birds,Columbiformes
511,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,turtur,European turtle-dove,365.0,365.0,,,,,,,,132.0,,13.2,wild,medium,acceptable,,,1.138,154.0,,Birds,Columbiformes
512,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,asiatica,White-winged dove,365.0,365.0,13.0,,2.0,,,7.7,,140.0,,25.0,unknown,medium,acceptable,,,,,,Birds,Columbiformes
514,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,macroura,Mourning dove,90.0,80.0,14.0,,2.0,5.0,,5.0,,119.0,,31.3,wild,large,acceptable,,,0.736,123.0,,Birds,Columbiformes
515,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,atthis,Common kingfisher,365.0,365.0,,,,,,,,31.4,,21.0,wild,medium,acceptable,,,0.37799999999999995,34.3,,Birds,Coraciiformes
518,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Dacelo,novaeguineae,Laughing kookaburra,365.0,365.0,25.0,,,,,,,305.0,,26.8,captivity,large,acceptable,,,,,,Birds,Coraciiformes
521,Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,caudatus,Lilac-breasted roller,,,21.0,,,,,,,108.0,,13.7,captivity,medium,acceptable,,,,,,Birds,Coraciiformes
523,Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,apiaster,European bee-eater,365.0,365.0,,,,,,,,56.6,,5.9,wild,medium,acceptable,,,,,,Birds,Coraciiformes
526,Animalia,Chordata,Aves,Coraciiformes,Momotidae,Momotus,momota,Blue-crowned motmot,,,21.0,,,,,,,133.0,,20.3,captivity,medium,acceptable,,,,,,Birds,Coraciiformes
528,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,Yellow-billed cuckoo,365.0,365.0,14.0,,3.0,1.0,,8.5,,57.8,,5.0,wild,small,acceptable,,,,,,Birds,Cuculiformes
529,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,Black-billed cuckoo,365.0,365.0,14.0,,2.5,1.0,,7.4,,37.5,,5.0,wild,small,acceptable,,,,,,Birds,Cuculiformes
530,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,canorus,Common cuckoo and Eurasian cuckoo,365.0,365.0,,,,,,,,111.5,,12.9,wild,medium,acceptable,,,0.838,111.6,,Birds,Cuculiformes
531,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Geococcyx,californianus,Greater roadrunner,365.0,365.0,20.0,,4.0,1.5,,14.0,,376.0,0.109,9.0,captivity,medium,acceptable,,,1.4661,284.7,,Birds,Cuculiformes
533,Animalia,Chordata,Aves,Eurypygiformes,Eurypygidae,Eurypyga,helias,Sunbittern,,,27.0,,2.0,,,,,210.0,,15.0,captivity,medium,acceptable,,,,,,Birds,Eurypygiformes
534,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,cheriway,Crested caracara,,,32.0,,2.0,1.5,,51.17,,1031.0,,25.8,captivity,small,acceptable,,,,,,Birds,Falconiformes
538,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,columbarius,Merlin,365.0,365.0,30.0,,5.0,1.0,,13.0,,195.0,0.24100000000000002,12.7,wild,medium,acceptable,,,,,,Birds,Falconiformes
540,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,femoralis,Aplomado falcon,,,32.0,,2.64,,,17.5,,342.5,,12.0,wild,medium,acceptable,,,,,,Birds,Falconiformes
541,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,mexicanus,Prairie falcon,365.0,365.0,31.0,,4.0,1.0,,30.6,,858.0,,17.2,wild,medium,acceptable,0.25,,,,,Birds,Falconiformes
542,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,naumanni,Lesser kestrel,365.0,365.0,,,,,,,,152.5,,10.9,wild,medium,acceptable,,,,,,Birds,Falconiformes
543,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,peregrinus,Peregrine falcon,365.0,365.0,30.0,,3.0,1.0,,37.5,,840.0,0.19899999999999998,25.0,unknown,medium,acceptable,0.2,,,,,Birds,Falconiformes
546,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,rusticolus,Gyrfalcon,730.0,730.0,35.0,,3.72,1.0,,52.08,,1406.5,,13.5,wild,medium,acceptable,,,,,,Birds,Falconiformes
547,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,sparverius,American kestrel,365.0,365.0,29.0,,4.6,1.5,,9.0,,117.0,0.285,17.0,captivity,medium,acceptable,,,,,,Birds,Falconiformes
548,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,subbuteo,Eurasian hobby,365.0,365.0,,,,,,,,209.5,0.264,14.9,wild,medium,acceptable,,,1.3014,208.0,,Birds,Falconiformes
549,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,tinnunculus,Common kestrel,365.0,365.0,,,,,,,,184.0,0.294,23.8,wild,large,acceptable,,,,,,Birds,Falconiformes
554,Animalia,Chordata,Aves,Galliformes,Cracidae,Ortalis,vetula,Plain chachalaca,365.0,365.0,23.0,,3.0,2.0,,,,495.5,,8.8,wild,medium,acceptable,,,,,,Birds,Galliformes
558,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,californica,California quail,274.0,274.0,22.0,,14.0,1.0,,6.0,,138.0,,9.6,unknown,medium,acceptable,,,,,,Birds,Galliformes
559,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,gambelii,Gambel's quail,365.0,365.0,22.0,,11.0,1.0,,,,166.0,,7.4,wild,medium,acceptable,,,0.755,126.1,,Birds,Galliformes
560,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,virginianus,Northern bobwhite,365.0,365.0,23.0,,15.0,1.5,,,,194.0,,6.4,wild,medium,acceptable,,,,,,Birds,Galliformes
562,Animalia,Chordata,Aves,Galliformes,Phasianidae,Bonasa,umbellus,Ruffed grouse,120.0,120.0,24.0,,11.0,1.0,,12.0,,532.0,0.068,11.0,unknown,medium,acceptable,0.55,,2.3894,644.0,,Birds,Galliformes
563,Animalia,Chordata,Aves,Galliformes,Phasianidae,Centrocercus,urophasianus,Sage grouse,365.0,365.0,26.0,,7.0,1.0,,30.5,,1929.5,,7.0,unknown,medium,acceptable,,,,,,Birds,Galliformes
564,Animalia,Chordata,Aves,Galliformes,Phasianidae,Chrysolophus,amherstiae,Lady Amherst's pheasant,,,24.0,,,,,,,738.0,,19.6,captivity,medium,acceptable,,,,,,Birds,Galliformes
567,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,coturnix,Common quail,365.0,365.0,,,,,,,,96.5,0.102,14.6,wild,medium,acceptable,,,0.8909999999999999,97.0,,Birds,Galliformes
568,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,japonica,Japanese quail,63.0,52.0,17.0,,,,,,,115.0,0.111,6.0,unknown,medium,acceptable,0.07,1.2,,,,Birds,Galliformes
569,Animalia,Chordata,Aves,Galliformes,Phasianidae,Dendragapus,obscurus,Blue grouse,365.0,365.0,26.0,,8.0,1.0,,22.6,,1058.5,0.078,14.0,wild,medium,acceptable,,,4.957,1131.0,,Birds,Galliformes
570,Animalia,Chordata,Aves,Galliformes,Phasianidae,Falcipennis,canadensis,Spruce grouse,365.0,365.0,20.0,,5.0,,,15.0,,417.3,0.08,13.0,wild,medium,acceptable,,,,,,Birds,Galliformes
571,Animalia,Chordata,Aves,Galliformes,Phasianidae,Francolinus,francolinus,Black francolin,,,19.0,,7.0,2.0,,12.5,,453.0,,7.0,wild,medium,acceptable,,,,,,Birds,Galliformes
572,Animalia,Chordata,Aves,Galliformes,Phasianidae,Francolinus,pondicerianus,Grey francolin,,,18.0,,7.5,2.5,,,,334.0,,8.0,wild,medium,acceptable,,,,,,Birds,Galliformes
573,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,gallus,Red junglefowl,,,,,,,,,,779.8,0.037000000000000005,30.0,captivity,large,acceptable,,,6.005,2710.0,,Birds,Galliformes
574,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,lagopus,Willow ptarmigan,365.0,365.0,21.0,,6.0,1.0,,14.72,,595.875,0.10099999999999999,9.0,wild,small,acceptable,,,2.872,567.0,,Birds,Galliformes
575,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,leucura,White-tailed ptarmigan,,365.0,23.0,,6.0,1.0,,12.9,,326.0,,15.0,wild,small,acceptable,,,,,,Birds,Galliformes
577,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lyrurus,tetrix,Eurasian black grouse,365.0,365.0,,,,,,,,1079.0,0.068,12.2,wild,medium,acceptable,,,,,,Birds,Galliformes
578,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,Wild turkey,304.0,365.0,28.0,,11.0,1.0,,47.0,,6050.0,0.023,13.0,wild,medium,acceptable,,,,,,Birds,Galliformes
579,Animalia,Chordata,Aves,Galliformes,Phasianidae,Pavo,cristatus,Indian peafowl,730.0,730.0,29.0,,5.0,,,120.0,,4200.0,0.03,23.2,captivity,large,acceptable,0.06,2.2,,,,Birds,Galliformes
580,Animalia,Chordata,Aves,Galliformes,Phasianidae,Perdix,perdix,Grey partridge,365.0,365.0,24.0,,16.0,,,10.0,,492.0,0.092,5.2,wild,medium,acceptable,,,2.1783,501.0,,Birds,Galliformes
581,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,colchicus,Common pheasant,240.0,240.0,24.0,,11.0,1.0,,18.5,,1094.8,0.043,27.0,captivity,large,high,,,,,,Birds,Galliformes
582,Animalia,Chordata,Aves,Galliformes,Phasianidae,Polyplectron,napoleonis,Palawan peacock-pheasant,730.0,365.0,19.0,,2.0,,,,,550.0,,15.0,unknown,medium,acceptable,,,,,,Birds,Galliformes
584,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tetrao,urogallus,Western capercaillie,1095.0,1095.0,,,,,,,,2950.0,0.066,18.0,captivity,medium,acceptable,,,11.815999999999999,4010.0,,Birds,Galliformes
586,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,cupido,Greater prairie chicken,365.0,183.0,23.0,,13.0,1.0,,11.5,,908.0,,5.0,unknown,medium,acceptable,,,,,,Birds,Galliformes
587,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,Lesser prairie chicken,365.0,183.0,23.0,,11.0,1.0,,,,794.5,,13.5,wild,small,acceptable,,,,,,Birds,Galliformes
588,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,phasianellus,Sharp-tailed grouse,180.0,180.0,23.0,,12.0,1.0,,12.8,,908.0,0.064,7.5,unknown,medium,acceptable,,,,,,Birds,Galliformes
590,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,arctica,Black-throated diver,1095.0,1095.0,29.0,,1.74,2.0,,72.33,,2724.0,,28.0,wild,medium,acceptable,,,,,,Birds,Gaviiformes
591,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,immer,Great northern diver,1461.0,1461.0,28.0,,2.0,1.0,,93.9,,3405.0,,24.1,wild,medium,acceptable,,,,,,Birds,Gaviiformes
592,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,stellata,Red-throated diver,1095.0,1095.0,28.0,,2.0,1.0,,54.8,,1816.0,,24.0,unknown,medium,acceptable,,,,,,Birds,Gaviiformes
593,Animalia,Chordata,Aves,Gruiformes,Gruidae,Anthropoides,virgo,Demoiselle crane,730.0,730.0,28.0,,2.0,,,,,2400.0,0.084,27.0,captivity,large,high,,,,,,Birds,Gruiformes
594,Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,regulorum,Grey crowned crane,1095.0,1095.0,30.0,,,,,,,3372.0,,27.2,captivity,large,acceptable,,,,,,Birds,Gruiformes
595,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,americana,Whooping crane,1460.0,1460.0,31.0,,2.0,,,150.0,,7500.0,0.07200000000000001,40.0,captivity,medium,acceptable,,,,,,Birds,Gruiformes
596,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,antigone,Sarus crane,,,32.0,,,,,,,8663.0,,41.8,captivity,medium,acceptable,,,,,,Birds,Gruiformes
597,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,Sandhill crane,1095.0,1095.0,29.0,,2.0,1.0,,114.2,,3890.0,0.047,36.6,wild,medium,acceptable,,,,,,Birds,Gruiformes
598,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,grus,Common crane,1825.0,1825.0,,,,,,,,5500.0,0.054000000000000006,43.0,wild,medium,acceptable,,,,,,Birds,Gruiformes
599,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,japonensis,Red-crowned crane,1095.0,1095.0,31.0,,2.0,,,,,8500.0,0.049,25.2,captivity,medium,acceptable,,,,,,Birds,Gruiformes
601,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,monacha,Hooded crane,1040.0,1040.0,,,,,,,,3700.0,0.066,24.0,captivity,small,acceptable,,,,,,Birds,Gruiformes
603,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,vipio,White-naped crane,1095.0,1095.0,31.0,,2.0,,,,,5400.0,0.057,45.0,captivity,medium,acceptable,,,,,,Birds,Gruiformes
604,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,americana,American coot,365.0,365.0,23.0,,10.0,2.0,,20.5,,450.8,0.06,22.3,wild,large,acceptable,,,,,,Birds,Gruiformes
605,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,atra,Coot,365.0,365.0,,,,,,,,734.3,0.174,20.6,wild,medium,acceptable,,,2.039,412.0,,Birds,Gruiformes
606,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,chloropus,Common moorhen,365.0,365.0,19.0,,9.0,2.0,,11.3,,392.0,,18.6,wild,medium,acceptable,,,,,,Birds,Gruiformes
608,Animalia,Chordata,Aves,Gruiformes,Rallidae,Rallus,aquaticus,Water rail,365.0,365.0,,,,,,,,111.5,0.114,8.9,wild,medium,acceptable,,,,,,Birds,Gruiformes
609,Animalia,Chordata,Aves,Gruiformes,Rallidae,Rallus,longirostris,Clapper rail,365.0,365.0,22.0,,10.0,2.0,,,,308.0,,7.5,wild,medium,acceptable,,,,,,Birds,Gruiformes
613,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Sericornis,frontalis,White-browed scrubwren,365.0,365.0,,,,,,,,13.4,,17.6,wild,large,acceptable,,,,,,Birds,Passeriformes
614,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,arundinaceus,Great reed-warbler,365.0,365.0,,,,,,,,30.0,,10.1,wild,medium,acceptable,,,0.257,21.9,,Birds,Passeriformes
617,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,melanopogon,Moustached warbler,365.0,365.0,,,,,,,,10.9,,11.2,wild,medium,acceptable,,,,,,Birds,Passeriformes
618,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,palustris,Marsh warbler,365.0,365.0,,,,,,,,11.5,,9.8,wild,medium,acceptable,,,0.203,10.8,,Birds,Passeriformes
619,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,schoenobaenus,Sedge warbler,365.0,365.0,,,,,,,,11.8,,11.8,wild,medium,acceptable,,,0.218,11.5,,Birds,Passeriformes
620,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,scirpaceus,Eurasian reed-warbler,365.0,365.0,,,,,,,,12.3,0.536,14.0,wild,medium,acceptable,,,,,,Birds,Passeriformes
623,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Hippolais,icterina,Icterine warbler,365.0,365.0,,,,,,,,13.2,,10.8,wild,medium,acceptable,,,0.252,12.5,,Birds,Passeriformes
624,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Hippolais,polyglotta,Melodious warbler,365.0,365.0,,,,,,,,11.0,,8.9,wild,medium,acceptable,,,,,,Birds,Passeriformes
625,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Iduna,pallida,Olivaceous warbler,365.0,365.0,,,,,,,,9.0,,7.9,wild,medium,acceptable,,,,,,Birds,Passeriformes
626,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,caudatus,Long-tailed tit,365.0,365.0,,,,,,,,8.6,,11.1,wild,medium,acceptable,,,0.19899999999999998,8.9,,Birds,Passeriformes
627,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,minimus,Bushtit,365.0,365.0,12.0,,6.0,2.0,,,,5.3,,9.1,wild,small,acceptable,,,0.122375,5.5,,Birds,Passeriformes
628,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,arvensis,Eurasian skylark,365.0,365.0,11.0,,3.0,1.0,,,,37.5,0.605,10.1,wild,medium,acceptable,,,0.722,31.7,,Birds,Passeriformes
629,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Eremophila,alpestris,Horned lark,365.0,365.0,11.0,,43.0,1.5,,2.74,,33.5,0.504,8.0,wild,medium,acceptable,,,0.3133,26.0,,Birds,Passeriformes
630,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Galerida,cristata,Crested lark,365.0,365.0,,,,,,,,42.9,,11.6,wild,medium,acceptable,,,,,,Birds,Passeriformes
631,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Lullula,arborea,Wood lark,365.0,365.0,,,,,,,,26.9,,6.0,wild,medium,acceptable,,,0.5720000000000001,25.5,,Birds,Passeriformes
632,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,cedrorum,Cedar waxwing,365.0,365.0,14.0,,4.0,2.0,,3.1,,30.0,0.52,8.2,wild,medium,acceptable,,,,,,Birds,Passeriformes
633,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,garrulus,Bohemian waxwing,365.0,365.0,14.0,,5.0,1.0,,,,54.5,,13.5,wild,medium,acceptable,,,0.9566,72.5,,Birds,Passeriformes
634,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,lapponicus,Lapland longspur,,,12.0,,5.0,1.0,,2.3,,28.35,0.604,6.0,wild,medium,acceptable,,,,,,Birds,Passeriformes
635,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,pictus,Smith's longspur,365.0,365.0,12.0,,4.0,1.0,,2.6,,26.65,,5.0,wild,medium,acceptable,,,,,,Birds,Passeriformes
637,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Plectrophenax,nivalis,Snow bunting,365.0,365.0,12.0,,5.0,1.0,,3.0,,41.8,0.5760000000000001,9.6,wild,medium,acceptable,,,,,,Birds,Passeriformes
638,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,cardinalis,Northern cardinal,365.0,365.0,12.0,,3.0,2.0,,3.5,,42.6,0.516,28.5,unknown,medium,acceptable,,,0.5163,41.0,,Birds,Passeriformes
641,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,amoena,Lazuli bunting,365.0,365.0,12.0,,4.0,1.0,,1.3,,15.15,,9.9,wild,small,acceptable,,,,,,Birds,Passeriformes
642,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,caerulea,Blue grosbeak,365.0,365.0,11.0,,4.0,1.5,,,,28.4,,10.2,wild,tiny,acceptable,,,,,,Birds,Passeriformes
643,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,ciris,Painted bunting,365.0,365.0,11.0,,4.0,2.0,,2.0,,14.75,,12.0,unknown,medium,acceptable,,,,,,Birds,Passeriformes
644,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,cyanea,Indigo bunting,365.0,365.0,12.0,,3.5,1.0,,2.1,,15.0,,11.0,wild,medium,acceptable,,,,,,Birds,Passeriformes
645,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,ludovicianus,Rose-breasted grosbeak,365.0,365.0,12.0,,4.0,1.0,,4.5,,47.325,,24.0,unknown,medium,acceptable,,,,,,Birds,Passeriformes
646,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,melanocephalus,Black-headed grosbeak,365.0,365.0,12.0,,3.0,1.0,,3.0,,42.0,,25.0,captivity,small,acceptable,,,,,,Birds,Passeriformes
647,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,ludoviciana,Western tanager,365.0,365.0,13.0,,4.0,1.0,,,,30.0,,15.3,unknown,medium,acceptable,,,,,,Birds,Passeriformes
648,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,olivacea,Scarlet tanager,365.0,365.0,13.0,,4.0,1.0,,2.97,,29.0,,11.9,wild,medium,acceptable,,,,,,Birds,Passeriformes
649,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,rubra,Summer tanager,365.0,365.0,12.0,,4.0,1.5,,4.2,,40.0,,7.9,wild,small,acceptable,,,,,,Birds,Passeriformes
650,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Spiza,americana,Dickcissel,365.0,365.0,12.0,,4.0,1.0,,,,33.0,,4.8,wild,medium,acceptable,,,,,,Birds,Passeriformes
653,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,familiaris,Eurasian treecreeper,365.0,365.0,,,,,,,,9.1,,8.2,wild,medium,acceptable,,,,,,Birds,Passeriformes
654,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Cettia,cetti,Cetti's warbler,365.0,365.0,,,,,,,,13.3,,9.3,wild,medium,acceptable,,,,,,Birds,Passeriformes
655,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,cinclus,White-throated dipper,365.0,365.0,,,,,,,,61.7,,10.6,wild,large,acceptable,,,,,,Birds,Passeriformes
656,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,mexicanus,American dipper,365.0,365.0,,,4.0,1.5,,,,50.2,,8.1,wild,medium,acceptable,,,,,,Birds,Passeriformes
660,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,californica,Western scrub jay,,,18.0,,4.0,1.0,,5.4,,88.7,,15.8,wild,medium,acceptable,,,,,,Birds,Passeriformes
