,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned,Order_transformed
86,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,virgatipes,Carpenter frog,,730.0,,,,,,,,,,6.2,captivity,small,acceptable,,,,,,Amphibians,Anura
88,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted frog,730.0,730.0,,,2800.0,,,,,,,15.0,wild,medium,acceptable,,,,,,Amphibians,Anura
89,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian green frog,912.0,912.0,6.0,,,,,,,,,6.8,captivity,small,acceptable,,,,,,Amphibians,Anura
90,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Marsh frog,1460.0,1095.0,,,6835.0,,,,,,,11.0,wild,medium,acceptable,,,,,,Amphibians,Anura
91,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,amurensis,Siberian wood frog,1640.0,1640.0,,,2125.0,,,,,,,9.0,wild,medium,acceptable,,,,,,Amphibians,Anura
96,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Long-legged wood frog,912.0,912.0,,,2040.0,,,,,,,5.0,wild,medium,acceptable,,,,,,Amphibians,Anura
97,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,European frog,1095.0,1095.0,,,2585.0,,,,,,,27.0,unknown,medium,acceptable,,,,,,Amphibians,Anura
99,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Eastern spadefoot,730.0,730.0,8.0,,3872.0,,,,,,,12.3,captivity,small,acceptable,,,,,,Amphibians,Anura
100,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great Basin spadefoot,,,3.0,,676.0,,,,,,,20.0,wild,medium,acceptable,,,,,,Amphibians,Anura
101,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,Northwestern salamander,730.0,730.0,,,150.0,,,,,,,10.2,captivity,small,acceptable,,,,,,Amphibians,Caudata
103,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Long-toed salamander,730.0,730.0,40.0,,250.0,,,,,,,10.0,wild,medium,acceptable,,,,,,Amphibians,Caudata
104,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander,1095.0,730.0,,,125.0,,,,,12.84,,32.0,unknown,medium,acceptable,,,0.005,12.8,290.0,Amphibians,Caudata
105,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,Axolotl,548.0,548.0,18.0,,,,,,,,,17.0,captivity,large,acceptable,,,,,,Amphibians,Caudata
106,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,1296.0,1113.0,,,100.0,,,,,,,11.3,captivity,small,acceptable,,,,,,Amphibians,Caudata
108,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,Mole salamander,730.0,730.0,,,350.0,,,,,,,9.0,unknown,medium,acceptable,,,,,,Amphibians,Caudata
109,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,texanum,Small-mouthed salamander,,,35.0,,625.0,,,,,,,13.8,captivity,tiny,acceptable,,,,,,Amphibians,Caudata
